Mod:Item:MetaData, Localized Name
chisel:lavastone2:0, Lavastone
chisel:blocklead:0, Block of Lead
chisel:blocklead:1, Block of Lead
chisel:blocklead:2, Block of Lead
chisel:blocklead:3, Block of Lead
chisel:blocklead:4, Block of Lead
chisel:blocklead:5, Block of Lead
chisel:blocklead:6, Block of Lead
chisel:limestone:0, Limestone
chisel:limestone:1, Limestone
chisel:limestone:2, Limestone
chisel:limestone:3, Limestone
chisel:limestone:4, Limestone
chisel:limestone:5, Limestone
chisel:limestone:6, Limestone
chisel:limestone:7, Limestone
chisel:limestone:8, Limestone
chisel:limestone:9, Limestone
chisel:limestone:10, Limestone
chisel:limestone:11, Limestone
chisel:limestone:12, Limestone
chisel:limestone:13, Limestone
chisel:limestone:14, Limestone
chisel:limestone:15, Limestone
chisel:limestone1:0, Limestone
chisel:limestone1:1, Limestone
chisel:limestone1:2, Limestone
chisel:limestone1:3, Limestone
chisel:limestone1:4, Limestone
chisel:limestone1:5, Limestone
chisel:limestone1:6, Limestone
chisel:limestone1:7, Limestone
chisel:limestone1:8, Limestone
chisel:limestone1:9, Limestone
chisel:limestone2:0, Limestone
chisel:limestone2:1, Limestone
chisel:limestone2:2, Limestone
chisel:limestone2:3, Limestone
chisel:limestone2:4, Limestone
chisel:limestone2:5, Limestone
chisel:limestone2:6, Limestone
chisel:limestone2:7, Limestone
chisel:marble:0, Marble
chisel:marble:1, Marble
chisel:marble:2, Marble
chisel:marble:3, Marble
chisel:marble:4, Marble
chisel:marble:5, Marble
chisel:marble:6, Marble
chisel:marble:7, Marble
chisel:marble:8, Marble
chisel:marble:9, Marble
chisel:marble:10, Marble
chisel:marble:11, Marble
chisel:marble:12, Marble
chisel:marble:13, Marble
chisel:marble:14, Marble
chisel:marble:15, Marble
chisel:marble1:0, Marble
chisel:marble1:1, Marble
chisel:marble1:2, Marble
chisel:marble1:3, Marble
chisel:marble1:4, Marble
chisel:marble1:5, Marble
chisel:marble1:6, Marble
chisel:marble1:7, Marble
chisel:marble1:8, Marble
chisel:marble1:9, Marble
chisel:marble2:0, Marble
chisel:marble2:1, Marble
chisel:marble2:2, Marble
chisel:marble2:3, Marble
chisel:marble2:4, Marble
chisel:marble2:5, Marble
chisel:marble2:6, Marble
chisel:marble2:7, Marble
chisel:marblepillar:0, Marble Pillar
chisel:marblepillar:1, Marble Pillar
chisel:marblepillar:2, Marble Pillar
chisel:marblepillar:3, Marble Pillar
chisel:marblepillar:4, Marble Pillar
chisel:marblepillar:5, Marble Pillar
chisel:marblepillar:6, Marble Pillar
chisel:marblepillar:7, Marble Pillar
chisel:marblepillar:8, Marble Pillar
chisel:marblepillar:9, Marble Pillar
chisel:marblepillar:10, Marble Pillar
chisel:marblepillar:11, Marble Pillar
chisel:marblepillar:12, Marble Pillar
chisel:marblepillar:13, Marble Pillar
chisel:marblepillar:14, Marble Pillar
chisel:marblepillar:15, Marble Pillar
chisel:netherbrick:0, Nether Bricks
chisel:netherbrick:1, Nether Bricks
chisel:netherbrick:2, Nether Bricks
chisel:netherbrick:3, Nether Bricks
chisel:netherbrick:4, Nether Bricks
chisel:netherbrick:5, Nether Bricks
chisel:netherbrick:6, Nether Bricks
chisel:netherbrick:7, Nether Bricks
chisel:netherbrick:8, Nether Bricks
chisel:netherbrick:9, Nether Bricks
chisel:netherbrick:10, Nether Bricks
chisel:netherbrick:11, Nether Bricks
chisel:netherbrick:12, Nether Bricks
chisel:netherbrick:13, Nether Bricks
chisel:netherbrick:14, Nether Bricks
chisel:netherbrick:15, Nether Bricks
chisel:netherrack:0, Netherrack
chisel:netherrack:1, Netherrack
chisel:netherrack:2, Netherrack
chisel:netherrack:3, Netherrack
chisel:netherrack:4, Netherrack
chisel:netherrack:5, Netherrack
chisel:netherrack:6, Netherrack
chisel:netherrack:7, Netherrack
chisel:netherrack:8, Netherrack
chisel:netherrack:9, Netherrack
chisel:netherrack:10, Netherrack
chisel:netherrack:11, Netherrack
chisel:netherrack:12, Netherrack
chisel:netherrack:13, Netherrack
chisel:blocknickel:0, Block of Nickel
chisel:blocknickel:1, Block of Nickel
chisel:blocknickel:2, Block of Nickel
chisel:blocknickel:3, Block of Nickel
chisel:blocknickel:4, Block of Nickel
chisel:blocknickel:5, Block of Nickel
chisel:blocknickel:6, Block of Nickel
chisel:obsidian:0, Obsidian
chisel:obsidian:1, Obsidian
chisel:obsidian:2, Obsidian
chisel:obsidian:3, Obsidian
chisel:obsidian:4, Obsidian
chisel:obsidian:5, Obsidian
chisel:obsidian:6, Obsidian
chisel:obsidian:7, Obsidian
chisel:obsidian:8, Obsidian
chisel:obsidian:9, Obsidian
chisel:obsidian:10, Obsidian
chisel:obsidian:11, Obsidian
chisel:obsidian:12, Obsidian
chisel:obsidian:13, Obsidian
chisel:obsidian:14, Obsidian
chisel:paper:0, Paper Wall
chisel:paper:1, Paper Wall
chisel:paper:2, Paper Wall
chisel:paper:3, Paper Wall
chisel:paper:4, Paper Wall
chisel:paper:5, Paper Wall
chisel:paper:6, Paper Wall
chisel:paper:7, Paper Wall
chisel:paper:8, Paper Wall
chisel:planks-oak:0, Oak Planks
chisel:planks-oak:1, Oak Planks
chisel:planks-oak:2, Oak Planks
chisel:planks-oak:3, Oak Planks
chisel:planks-oak:4, Oak Planks
chisel:planks-oak:5, Oak Planks
chisel:planks-oak:6, Oak Planks
chisel:planks-oak:7, Oak Planks
chisel:planks-oak:8, Oak Planks
chisel:planks-oak:9, Oak Planks
chisel:planks-oak:10, Oak Planks
chisel:planks-oak:11, Oak Planks
chisel:planks-oak:12, Oak Planks
chisel:planks-oak:13, Oak Planks
chisel:planks-oak:14, Oak Planks
chisel:planks-spruce:0, Spruce Planks
chisel:planks-spruce:1, Spruce Planks
chisel:planks-spruce:2, Spruce Planks
chisel:planks-spruce:3, Spruce Planks
chisel:planks-spruce:4, Spruce Planks
chisel:planks-spruce:5, Spruce Planks
chisel:planks-spruce:6, Spruce Planks
chisel:planks-spruce:7, Spruce Planks
chisel:planks-spruce:8, Spruce Planks
chisel:planks-spruce:9, Spruce Planks
chisel:planks-spruce:10, Spruce Planks
chisel:planks-spruce:11, Spruce Planks
chisel:planks-spruce:12, Spruce Planks
chisel:planks-spruce:13, Spruce Planks
chisel:planks-spruce:14, Spruce Planks
chisel:planks-birch:0, Birch Planks
chisel:planks-birch:1, Birch Planks
chisel:planks-birch:2, Birch Planks
chisel:planks-birch:3, Birch Planks
chisel:planks-birch:4, Birch Planks
chisel:planks-birch:5, Birch Planks
chisel:planks-birch:6, Birch Planks
chisel:planks-birch:7, Birch Planks
chisel:planks-birch:8, Birch Planks
chisel:planks-birch:9, Birch Planks
chisel:planks-birch:10, Birch Planks
chisel:planks-birch:11, Birch Planks
chisel:planks-birch:12, Birch Planks
chisel:planks-birch:13, Birch Planks
chisel:planks-birch:14, Birch Planks
chisel:planks-jungle:0, Jungle Planks
chisel:planks-jungle:1, Jungle Planks
chisel:planks-jungle:2, Jungle Planks
chisel:planks-jungle:3, Jungle Planks
chisel:planks-jungle:4, Jungle Planks
chisel:planks-jungle:5, Jungle Planks
chisel:planks-jungle:6, Jungle Planks
chisel:planks-jungle:7, Jungle Planks
chisel:planks-jungle:8, Jungle Planks
chisel:planks-jungle:9, Jungle Planks
chisel:planks-jungle:10, Jungle Planks
chisel:planks-jungle:11, Jungle Planks
chisel:planks-jungle:12, Jungle Planks
chisel:planks-jungle:13, Jungle Planks
chisel:planks-jungle:14, Jungle Planks
chisel:planks-acacia:0, Acacia Planks
chisel:planks-acacia:1, Acacia Planks
chisel:planks-acacia:2, Acacia Planks
chisel:planks-acacia:3, Acacia Planks
chisel:planks-acacia:4, Acacia Planks
chisel:planks-acacia:5, Acacia Planks
chisel:planks-acacia:6, Acacia Planks
chisel:planks-acacia:7, Acacia Planks
chisel:planks-acacia:8, Acacia Planks
chisel:planks-acacia:9, Acacia Planks
chisel:planks-acacia:10, Acacia Planks
chisel:planks-acacia:11, Acacia Planks
chisel:planks-acacia:12, Acacia Planks
chisel:planks-acacia:13, Acacia Planks
chisel:planks-acacia:14, Acacia Planks
chisel:planks-dark-oak:0, Dark Oak Planks
chisel:planks-dark-oak:1, Dark Oak Planks
chisel:planks-dark-oak:2, Dark Oak Planks
chisel:planks-dark-oak:3, Dark Oak Planks
chisel:planks-dark-oak:4, Dark Oak Planks
chisel:planks-dark-oak:5, Dark Oak Planks
chisel:planks-dark-oak:6, Dark Oak Planks
chisel:planks-dark-oak:7, Dark Oak Planks
chisel:planks-dark-oak:8, Dark Oak Planks
chisel:planks-dark-oak:9, Dark Oak Planks
chisel:planks-dark-oak:10, Dark Oak Planks
chisel:planks-dark-oak:11, Dark Oak Planks
chisel:planks-dark-oak:12, Dark Oak Planks
chisel:planks-dark-oak:13, Dark Oak Planks
chisel:planks-dark-oak:14, Dark Oak Planks
chisel:blockplatinum:0, Block of Platinum
chisel:blockplatinum:1, Block of Platinum
chisel:blockplatinum:2, Block of Platinum
chisel:blockplatinum:3, Block of Platinum
chisel:blockplatinum:4, Block of Platinum
chisel:blockplatinum:5, Block of Platinum
chisel:blockplatinum:6, Block of Platinum
chisel:prismarine:0, Prismarine
chisel:prismarine:1, Prismarine
chisel:prismarine:2, Prismarine
chisel:prismarine:3, Prismarine
chisel:prismarine:4, Prismarine
chisel:prismarine:5, Prismarine
chisel:prismarine:6, Prismarine
chisel:prismarine:7, Prismarine
chisel:prismarine:8, Prismarine
chisel:prismarine:9, Prismarine
chisel:prismarine:10, Prismarine
chisel:prismarine:11, Prismarine
chisel:prismarine:12, Prismarine
chisel:prismarine:13, Prismarine
chisel:prismarine:14, Prismarine
chisel:prismarine:15, Prismarine
chisel:prismarine1:0, Prismarine
chisel:prismarine1:1, Prismarine
chisel:prismarine1:2, Prismarine
chisel:prismarine1:3, Prismarine
chisel:prismarine1:4, Prismarine
chisel:prismarine1:5, Prismarine
chisel:prismarine1:6, Prismarine
chisel:prismarine1:7, Prismarine
chisel:prismarine1:8, Prismarine
chisel:prismarine1:9, Prismarine
chisel:prismarine2:0, Prismarine
chisel:prismarine2:1, Prismarine
chisel:prismarine2:2, Prismarine
chisel:prismarine2:3, Prismarine
chisel:prismarine2:4, Prismarine
chisel:prismarine2:5, Prismarine
chisel:quartz:0, Block of Quartz
chisel:quartz:1, Block of Quartz
chisel:quartz:2, Block of Quartz
chisel:quartz:3, Block of Quartz
chisel:quartz:4, Block of Quartz
chisel:quartz:5, Block of Quartz
chisel:quartz:6, Block of Quartz
chisel:quartz:7, Block of Quartz
chisel:quartz:8, Block of Quartz
chisel:quartz:9, Block of Quartz
chisel:quartz:10, Block of Quartz
chisel:quartz:11, Block of Quartz
chisel:quartz:12, Block of Quartz
chisel:quartz:13, Block of Quartz
chisel:quartz:14, Block of Quartz
chisel:quartz:15, Block of Quartz
chisel:quartz1:0, Block of Quartz
chisel:quartz1:1, Block of Quartz
chisel:quartz1:2, Block of Quartz
chisel:quartz1:3, Block of Quartz
chisel:quartz1:4, Block of Quartz
chisel:quartz1:5, Block of Quartz
chisel:quartz1:6, Block of Quartz
chisel:quartz1:7, Block of Quartz
chisel:quartz1:8, Block of Quartz
chisel:quartz1:9, Block of Quartz
chisel:quartz1:10, Block of Quartz
chisel:quartz1:11, Block of Quartz
chisel:quartz1:12, Block of Quartz
chisel:quartz1:13, Block of Quartz
chisel:quartz1:14, Block of Quartz
chisel:quartz1:15, Block of Quartz
chisel:redstone:0, Block of Redstone
chisel:redstone:1, Block of Redstone
chisel:redstone:2, Block of Redstone
chisel:redstone:3, Block of Redstone
chisel:redstone:4, Block of Redstone
chisel:redstone:5, Block of Redstone
chisel:redstone:6, Block of Redstone
chisel:redstone:7, Block of Redstone
chisel:redstone:8, Block of Redstone
chisel:redstone:9, Block of Redstone
chisel:redstone:10, Block of Redstone
chisel:redstone:11, Block of Redstone
chisel:redstone:12, Block of Redstone
chisel:redstone:13, Block of Redstone
chisel:redstone:14, Block of Redstone
chisel:redstone:15, Block of Redstone
chisel:redstone1:0, Block of Redstone
chisel:redstone1:1, Block of Redstone
chisel:redstone1:2, Block of Redstone
chisel:redstone1:3, Block of Redstone
chisel:redstone1:4, Block of Redstone
chisel:redstone1:5, Block of Redstone
chisel:redstone1:6, Block of Redstone
chisel:redstone1:7, Block of Redstone
chisel:redstone1:8, Block of Redstone
chisel:redstone1:9, Block of Redstone
chisel:redstone1:10, Block of Redstone
chisel:redstone1:11, Block of Redstone
chisel:sandstoneyellow:0, Sandstone
chisel:sandstoneyellow:1, Sandstone
chisel:sandstoneyellow:2, Sandstone
chisel:sandstoneyellow:3, Sandstone
chisel:sandstoneyellow:4, Sandstone
chisel:sandstoneyellow:5, Sandstone
chisel:sandstoneyellow:6, Sandstone
chisel:sandstoneyellow:7, Sandstone
chisel:sandstoneyellow:8, Sandstone
chisel:sandstoneyellow:9, Sandstone
chisel:sandstoneyellow:10, Sandstone
chisel:sandstoneyellow:11, Sandstone
chisel:sandstoneyellow:12, Sandstone
chisel:sandstoneyellow:13, Sandstone
chisel:sandstoneyellow:14, Sandstone
chisel:sandstoneyellow:15, Sandstone
chisel:sandstoneyellow1:0, Sandstone
chisel:sandstoneyellow1:1, Sandstone
chisel:sandstoneyellow1:2, Sandstone
chisel:sandstoneyellow1:3, Sandstone
chisel:sandstoneyellow1:4, Sandstone
chisel:sandstoneyellow1:5, Sandstone
chisel:sandstoneyellow1:6, Sandstone
chisel:sandstoneyellow1:7, Sandstone
chisel:sandstoneyellow1:8, Sandstone
chisel:sandstoneyellow1:9, Sandstone
chisel:sandstoneyellow2:0, Sandstone
chisel:sandstoneyellow2:1, Sandstone
chisel:sandstoneyellow2:2, Sandstone
chisel:sandstoneyellow2:3, Sandstone
chisel:sandstoneyellow2:4, Sandstone
chisel:sandstoneyellow2:5, Sandstone
chisel:sandstoneyellow2:6, Sandstone
chisel:sandstonered:0, Red Sandstone
chisel:sandstonered:1, Red Sandstone
chisel:sandstonered:2, Red Sandstone
chisel:sandstonered:3, Red Sandstone
chisel:sandstonered:4, Red Sandstone
chisel:sandstonered:5, Red Sandstone
chisel:sandstonered:6, Red Sandstone
chisel:sandstonered:7, Red Sandstone
chisel:sandstonered:8, Red Sandstone
chisel:sandstonered:9, Red Sandstone
chisel:sandstonered:10, Red Sandstone
chisel:sandstonered:11, Red Sandstone
chisel:sandstonered:12, Red Sandstone
chisel:sandstonered:13, Red Sandstone
chisel:sandstonered:14, Red Sandstone
chisel:sandstonered:15, Red Sandstone
chisel:sandstonered1:0, Red Sandstone
chisel:sandstonered1:1, Red Sandstone
chisel:sandstonered1:2, Red Sandstone
chisel:sandstonered1:3, Red Sandstone
chisel:sandstonered1:4, Red Sandstone
chisel:sandstonered1:5, Red Sandstone
chisel:sandstonered1:6, Red Sandstone
chisel:sandstonered1:7, Red Sandstone
chisel:sandstonered1:8, Red Sandstone
chisel:sandstonered1:9, Red Sandstone
chisel:sandstonered2:0, Red Sandstone
chisel:sandstonered2:1, Red Sandstone
chisel:sandstonered2:2, Red Sandstone
chisel:sandstonered2:3, Red Sandstone
chisel:sandstonered2:4, Red Sandstone
chisel:sandstonered2:5, Red Sandstone
chisel:sandstonered2:6, Red Sandstone
chisel:sandstone-scribbles:0, Sandstone Scribbles
chisel:sandstone-scribbles:1, Sandstone Scribbles
chisel:sandstone-scribbles:2, Sandstone Scribbles
chisel:sandstone-scribbles:3, Sandstone Scribbles
chisel:sandstone-scribbles:4, Sandstone Scribbles
chisel:sandstone-scribbles:5, Sandstone Scribbles
chisel:sandstone-scribbles:6, Sandstone Scribbles
chisel:sandstone-scribbles:7, Sandstone Scribbles
chisel:sandstone-scribbles:8, Sandstone Scribbles
chisel:sandstone-scribbles:9, Sandstone Scribbles
chisel:sandstone-scribbles:10, Sandstone Scribbles
chisel:sandstone-scribbles:11, Sandstone Scribbles
chisel:sandstone-scribbles:12, Sandstone Scribbles
chisel:sandstone-scribbles:13, Sandstone Scribbles
chisel:sandstone-scribbles:14, Sandstone Scribbles
chisel:sandstone-scribbles:15, Sandstone Scribbles
chisel:blocksilver:0, Block of Silver
chisel:blocksilver:1, Block of Silver
chisel:blocksilver:2, Block of Silver
chisel:blocksilver:3, Block of Silver
chisel:blocksilver:4, Block of Silver
chisel:blocksilver:5, Block of Silver
chisel:blocksilver:6, Block of Silver
chisel:blocksteel:0, Block of Steel
chisel:blocksteel:1, Block of Steel
chisel:blocksteel:2, Block of Steel
chisel:blocksteel:3, Block of Steel
chisel:blocksteel:4, Block of Steel
chisel:blocksteel:5, Block of Steel
chisel:blocksteel:6, Block of Steel
chisel:stonebrick:0, Chiseled Stone
chisel:stonebrick:1, Chiseled Stone
chisel:stonebrick:2, Chiseled Stone
chisel:stonebrick:3, Chiseled Stone
chisel:stonebrick:4, Chiseled Stone
chisel:stonebrick:5, Chiseled Stone
chisel:stonebrick:6, Chiseled Stone
chisel:stonebrick:7, Chiseled Stone
chisel:stonebrick:8, Chiseled Stone
chisel:stonebrick:9, Chiseled Stone
chisel:stonebrick:10, Chiseled Stone
chisel:stonebrick:11, Chiseled Stone
chisel:stonebrick:12, Chiseled Stone
chisel:stonebrick:13, Chiseled Stone
chisel:stonebrick:14, Chiseled Stone
chisel:stonebrick:15, Chiseled Stone
chisel:stonebrick1:0, Chiseled Stone
chisel:stonebrick1:1, Chiseled Stone
chisel:stonebrick1:2, Chiseled Stone
chisel:stonebrick1:3, Chiseled Stone
chisel:stonebrick1:4, Chiseled Stone
chisel:stonebrick1:5, Chiseled Stone
chisel:stonebrick1:6, Chiseled Stone
chisel:stonebrick1:7, Chiseled Stone
chisel:stonebrick1:8, Chiseled Stone
chisel:stonebrick1:9, Chiseled Stone
chisel:stonebrick2:0, Chiseled Stone
chisel:stonebrick2:1, Chiseled Stone
chisel:stonebrick2:2, Chiseled Stone
chisel:stonebrick2:3, Chiseled Stone
chisel:stonebrick2:4, Chiseled Stone
chisel:stonebrick2:5, Chiseled Stone
chisel:stonebrick2:6, Chiseled Stone
chisel:stonebrick2:7, Chiseled Stone
chisel:technical:0, Factory Block
chisel:technical:1, Factory Block
chisel:technical:2, Factory Block
chisel:technical:3, Factory Block
chisel:technical:4, Factory Block
chisel:technical:5, Factory Block
chisel:technical:6, Factory Block
chisel:technical:7, Factory Block
chisel:technical:8, Factory Block
chisel:technical:9, Factory Block
chisel:technical:10, Factory Block
chisel:technical:11, Factory Block
chisel:technical:12, Factory Block
chisel:technical:13, Factory Block
chisel:technical:14, Factory Block
chisel:technical:15, Factory Block
chisel:technical1:0, Factory Block
chisel:technical1:1, Factory Block
chisel:technical1:2, Factory Block
chisel:technical1:3, Factory Block
chisel:technical1:4, Factory Block
chisel:technicalnew:0, Factory Block
chisel:technicalnew:1, Factory Block
chisel:technicalnew:2, Factory Block
chisel:technicalnew:3, Factory Block
chisel:technicalnew:4, Factory Block
chisel:technicalnew:5, Factory Block
chisel:technicalnew:6, Factory Block
chisel:technicalnew:7, Factory Block
chisel:technicalnew:8, Factory Block
chisel:temple:0, Temple Block
chisel:temple:1, Temple Block
chisel:temple:2, Temple Block
chisel:temple:3, Temple Block
chisel:temple:4, Temple Block
chisel:temple:5, Temple Block
chisel:temple:6, Temple Block
chisel:temple:7, Temple Block
chisel:temple:8, Temple Block
chisel:temple:9, Temple Block
chisel:temple:10, Temple Block
chisel:temple:11, Temple Block
chisel:temple:12, Temple Block
chisel:temple:13, Temple Block
chisel:temple:14, Temple Block
chisel:temple:15, Temple Block
chisel:templemossy:0, Mossy Temple Block
chisel:templemossy:1, Mossy Temple Block
chisel:templemossy:2, Mossy Temple Block
chisel:templemossy:3, Mossy Temple Block
chisel:templemossy:4, Mossy Temple Block
chisel:templemossy:5, Mossy Temple Block
chisel:templemossy:6, Mossy Temple Block
chisel:templemossy:7, Mossy Temple Block
chisel:templemossy:8, Mossy Temple Block
chisel:templemossy:9, Mossy Temple Block
chisel:templemossy:10, Mossy Temple Block
chisel:templemossy:11, Mossy Temple Block
chisel:templemossy:12, Mossy Temple Block
chisel:templemossy:13, Mossy Temple Block
chisel:templemossy:14, Mossy Temple Block
chisel:templemossy:15, Mossy Temple Block
chisel:blocktin:0, Block of Tin
chisel:blocktin:1, Block of Tin
chisel:blocktin:2, Block of Tin
chisel:blocktin:3, Block of Tin
chisel:blocktin:4, Block of Tin
chisel:blocktin:5, Block of Tin
chisel:blocktin:6, Block of Tin
chisel:tyrian:0, Tyrian
chisel:tyrian:1, Tyrian
chisel:tyrian:2, Tyrian
chisel:tyrian:3, Tyrian
chisel:tyrian:4, Tyrian
chisel:tyrian:5, Tyrian
chisel:tyrian:6, Tyrian
chisel:tyrian:7, Tyrian
chisel:tyrian:8, Tyrian
chisel:tyrian:9, Tyrian
chisel:tyrian:10, Tyrian
chisel:tyrian:11, Tyrian
chisel:tyrian:12, Tyrian
chisel:tyrian:13, Tyrian
chisel:tyrian:14, Tyrian
chisel:tyrian:15, Tyrian
chisel:blockuranium:0, Block of Uranium
chisel:blockuranium:1, Block of Uranium
chisel:blockuranium:2, Block of Uranium
chisel:blockuranium:3, Block of Uranium
chisel:blockuranium:4, Block of Uranium
chisel:blockuranium:5, Block of Uranium
chisel:blockuranium:6, Block of Uranium
chisel:valentines:0, Valentines' Block
chisel:valentines:1, Valentines' Block
chisel:valentines:2, Valentines' Block
chisel:valentines:3, Valentines' Block
chisel:valentines:4, Valentines' Block
chisel:valentines:5, Valentines' Block
chisel:valentines:6, Valentines' Block
chisel:valentines:7, Valentines' Block
chisel:valentines:8, Valentines' Block
chisel:valentines:9, Valentines' Block
chisel:voidstone:0, Voidstone
chisel:voidstone:1, Voidstone
chisel:voidstone:2, Voidstone
chisel:voidstone:3, Voidstone
chisel:voidstone:4, Voidstone
chisel:voidstone:5, Voidstone
chisel:voidstone:6, Voidstone
chisel:voidstone:7, Voidstone
chisel:energizedvoidstone:0, Primal Voidstone
chisel:energizedvoidstone:1, Primal Voidstone
chisel:energizedvoidstone:2, Primal Voidstone
chisel:energizedvoidstone:3, Primal Voidstone
chisel:energizedvoidstone:4, Primal Voidstone
chisel:energizedvoidstone:5, Primal Voidstone
chisel:energizedvoidstone:6, Primal Voidstone
chisel:energizedvoidstone:7, Primal Voidstone
chisel:voidstonerunic:0, Runed Voidstone
chisel:voidstonerunic:1, Runed Voidstone
chisel:voidstonerunic:2, Runed Voidstone
chisel:voidstonerunic:3, Runed Voidstone
chisel:voidstonerunic:4, Runed Voidstone
chisel:voidstonerunic:5, Runed Voidstone
chisel:voidstonerunic:6, Runed Voidstone
chisel:voidstonerunic:7, Runed Voidstone
chisel:voidstonerunic:8, Runed Voidstone
chisel:voidstonerunic:9, Runed Voidstone
chisel:voidstonerunic:10, Runed Voidstone
chisel:voidstonerunic:11, Runed Voidstone
chisel:voidstonerunic:12, Runed Voidstone
chisel:voidstonerunic:13, Runed Voidstone
chisel:voidstonerunic:14, Runed Voidstone
chisel:waterstone:0, Waterstone
chisel:waterstone:1, Waterstone
chisel:waterstone:2, Waterstone
chisel:waterstone:3, Waterstone
chisel:waterstone:4, Waterstone
chisel:waterstone:5, Waterstone
chisel:waterstone:6, Waterstone
chisel:waterstone:7, Waterstone
chisel:waterstone:8, Waterstone
chisel:waterstone:9, Waterstone
chisel:waterstone:10, Waterstone
chisel:waterstone:11, Waterstone
chisel:waterstone:12, Waterstone
chisel:waterstone:13, Waterstone
chisel:waterstone:14, Waterstone
chisel:waterstone:15, Waterstone
chisel:waterstone1:0, Waterstone
chisel:waterstone1:1, Waterstone
chisel:waterstone1:2, Waterstone
chisel:waterstone1:3, Waterstone
chisel:waterstone1:4, Waterstone
chisel:waterstone1:5, Waterstone
chisel:waterstone1:6, Waterstone
chisel:waterstone1:7, Waterstone
chisel:waterstone1:8, Waterstone
chisel:waterstone1:9, Waterstone
chisel:waterstone1:10, Waterstone
chisel:waterstone1:11, Waterstone
chisel:waterstone1:12, Waterstone
chisel:waterstone1:13, Waterstone
chisel:waterstone1:14, Waterstone
chisel:waterstone1:15, Waterstone
chisel:waterstone2:0, Waterstone
chisel:wool_black:0, Black Wool
chisel:wool_black:1, Black Wool
chisel:wool_red:0, Red Wool
chisel:wool_red:1, Red Wool
chisel:wool_green:0, Green Wool
chisel:wool_green:1, Green Wool
chisel:wool_brown:0, Brown Wool
chisel:wool_brown:1, Brown Wool
chisel:wool_blue:0, Blue Wool
chisel:wool_blue:1, Blue Wool
chisel:wool_purple:0, Purple Wool
chisel:wool_purple:1, Purple Wool
chisel:wool_cyan:0, Cyan Wool
chisel:wool_cyan:1, Cyan Wool
chisel:wool_lightgray:0, Light Gray Wool
chisel:wool_lightgray:1, Light Gray Wool
chisel:wool_gray:0, Gray Wool
chisel:wool_gray:1, Gray Wool
chisel:wool_pink:0, Pink Wool
chisel:wool_pink:1, Pink Wool
chisel:wool_lime:0, Lime Wool
chisel:wool_lime:1, Lime Wool
chisel:wool_yellow:0, Yellow Wool
chisel:wool_yellow:1, Yellow Wool
chisel:wool_lightblue:0, Light Blue Wool
chisel:wool_lightblue:1, Light Blue Wool
chisel:wool_magenta:0, Magenta Wool
chisel:wool_magenta:1, Magenta Wool
chisel:wool_orange:0, Orange Wool
chisel:wool_orange:1, Orange Wool
chisel:wool_white:0, Wool
chisel:wool_white:1, Wool
thaumcraft:ore_amber, Amber Bearing Stone
thaumcraft:ore_cinnabar, Cinnabar Ore
thaumcraft:ore_quartz, Quartz Ore
thaumcraft:crystal_aer, Air Crystal
thaumcraft:crystal_ignis, Fire Crystal
thaumcraft:crystal_aqua, Water Crystal
thaumcraft:crystal_terra, Earth Crystal
thaumcraft:crystal_ordo, Order Crystal
thaumcraft:crystal_perditio, Entropy Crystal
thaumcraft:crystal_vitium, Flux Crystal
thaumcraft:stone_arcane, Arcane Stone
thaumcraft:stone_arcane_brick, Arcane Stone Brick
thaumcraft:stone_ancient, Ancient Stone
thaumcraft:stone_ancient_tile, Ancient Stone Tile
thaumcraft:stone_ancient_rock, Ancient Rock
thaumcraft:stone_ancient_glyphed, Glyphed Stone
thaumcraft:stone_ancient_doorway, Ancient Barrier
thaumcraft:stone_eldritch_tile, Eldritch Stone
thaumcraft:stone_porous, Porous Stone
thaumcraft:stairs_arcane, Arcane Stone Stairs
thaumcraft:stairs_arcane_brick, Arcane Brick Stairs
thaumcraft:stairs_ancient, Ancient Stone Stairs
thaumcraft:slab_arcane_stone:0, Arcane Stone Slab
thaumcraft:slab_arcane_brick:0, Arcane Brick Slab
thaumcraft:slab_ancient:0, Ancient Stone Slab
thaumcraft:slab_eldritch:0, Eldritch Stone Slab
thaumcraft:sapling_greatwood, Greatwood Sapling
thaumcraft:sapling_silverwood, Silverwood Sapling
thaumcraft:log_greatwood, Greatwood Log
thaumcraft:log_silverwood, Silverwood Log
thaumcraft:leaves_greatwood, Greatwood Leaves
thaumcraft:leaves_silverwood, Silverwood Leaves
thaumcraft:shimmerleaf, Shimmerleaf
thaumcraft:cinderpearl, Cinderpearl
thaumcraft:vishroom, Vishroom
thaumcraft:plank_greatwood, Greatwood Planks
thaumcraft:plank_silverwood, Silverwood Planks
thaumcraft:stairs_greatwood, Greatwood Stairs
thaumcraft:stairs_silverwood, Silverwood Stairs
thaumcraft:slab_greatwood:0, Greatwood Slab
thaumcraft:slab_silverwood:0, Silverwood Slab
thaumcraft:amber_block, Amber Block
thaumcraft:amber_brick, Amber Bricks
thaumcraft:flesh_block, Block of Flesh
thaumcraft:loot_crate_common, Common Crate
thaumcraft:loot_crate_uncommon, Uncommon Crate
thaumcraft:loot_crate_rare, Rare Crate
thaumcraft:loot_urn_common, Common Urn
thaumcraft:loot_urn_uncommon, Uncommon Urn
thaumcraft:loot_urn_rare, Rare Urn
thaumcraft:taint_fibre, Fibrous Taint
thaumcraft:taint_crust, Crusted Taint
